HIP,common name,Vmag,Abs Mag,Distance_pc,B-V ,"SpectralType"
70890,Proxima Centauri,11.01,15.45,1.2948,1.807,M5Ve
71681,a Centauri B,1.35,5.7,1.3475,0.9,K1V
71683,Rigel Kentaurus,-0.01,4.34,1.3475,0.71,G2V
87937,Barnard's Star,9.54,13.24,1.8215,1.57,sdM4
54035,,7.49,10.46,2.5484,1.502,M2V
32349,Sirius A,-1.44,1.45,2.6371,0.009,A0m...
92403,Ross 154,10.37,13,2.9719,1.51,M3.5Ve
16537,e Eridani,3.72,6.18,3.218,0.881,K2V
114046,Lacaille 9352,7.35,9.76,3.2906,1.483,M2/M3V
57548,FI Virginis or Ross 128,11.12,13.5,3.338,1.746,M4.5V
104214,61 Cygni A,5.2,7.49,3.4827,1.069,K5V
37279,Procyon,0.4,2.68,3.4974,0.432,F5IV-V
104217,61 Cygni B,6.05,8.33,3.5036,1.309,K7V
91772,,9.7,11.97,3.5152,1.561,K5
91768,,8.94,11.18,3.5679,1.504,K5
1475,GX Andromedae,8.09,10.33,3.568,1.56,M1V
108870,e Indi,4.69,6.89,3.6263,1.056,K5V
8102,t Ceti,3.49,5.68,3.6474,0.727,G8V
5643,YZ Ceti,12.1,14.25,3.7168,1.85,M5.5Ve
36208,Luyten's Star,9.84,11.94,3.7985,1.573,M5
24186,Kapteyn's Star,8.86,10.89,3.9176,1.543,M0V
105090,AX Microscopii,6.69,8.71,3.9468,1.397,M1/M2V
110893,,9.59,11.58,4.0077,1.613,M2V
30920,Ross 614 A,11.12,13.05,4.1171,1.69,M4.5Ve
72511,,11.72,13.58,4.251,1.48,M
80824,Wolf 1061,10.1,11.95,4.2642,1.604,M4
439,,8.56,10.36,4.3605,1.462,M2V
15689,,12.16,13.94,4.3966,,
3829,van Maanen's Star,12.37,14.15,4.4063,0.554,DG
72509,,12.07,13.8,4.5086,1.524,M
86162,,9.15,10.87,4.528,1.505,M3.5Vvar
85523,,9.38,11.1,4.5366,1.553,K5
114110,,12.24,13.92,4.6185,,
57367,,11.5,13.18,4.6211,0.196,DC:
113020,IL Aquarii or Ross 780,10.16,11.8,4.7017,1.597,M5
54211,Furuhjelm I- 650,8.82,10.4,4.8323,1.491,M2Vvar
49908,,6.6,8.16,4.8728,1.326,K8V
82725,,11.72,13.26,4.9259,,
85605,,11.39,12.92,4.9336,1.101,
106440,,8.66,10.19,4.9375,1.521,M1V
86214,,10.94,12.43,5.0424,1.655,M5
19849,o2 Eridani A,4.43,5.92,5.0444,0.82,K1V
112460,EV Lacertae,10.29,11.77,5.0487,1.54,M4.5Ve
88601,70 Ophiuchi A,4.03,5.5,5.086,0.86,K0V SB
97649,Altair,0.76,2.2,5.143,0.221,A7IV-V
1242,,11.49,12.9,5.2121,1.75,M:
57544,,10.8,12.14,5.3914,1.572,M4
67155,Wolf 498,8.46,9.79,5.4309,1.435,M3V
103039,,11.41,12.71,5.49,1.653,
21088,,10.82,12.11,5.5139,1.17,
33226,Wolf 294,9.89,11.18,5.5151,1.58,K:...
53020,EE Leo or Wolf 358,11.64,12.89,5.6351,1.679,M4:
25878,Wolf 1453,7.97,9.19,5.6909,1.474,M1V
82817,Wolf 630,9.02,10.23,5.7395,1.553,M3Ve
96100,s Draconis,4.67,5.87,5.7667,0.786,K0V
29295,,8.15,9.34,5.774,1.487,M1/M2V
26857,Ross 47,11.56,12.75,5.7877,1.675,M5
86990,,10.75,11.93,5.8113,1.66,M5
94761,Wolf 1055,9.12,10.28,5.8734,1.464,M3.5V
73184,,5.72,6.86,5.906,1.024,K4V
37766,Ross 882,11.19,12.32,5.9315,1.6,M4.5Ve
76074,,9.31,10.44,5.934,1.524,M0
3821,h Cassiopei or Wolf 24,3.46,4.59,5.9527,0.587,G0V SB
84478,36 Ophiuchi C,6.33,7.45,5.968,1.144,K5V
117473,BR Piscium,8.98,10.1,5.9698,1.46,M2V
84405,36 Ophiuchi,4.33,5.44,5.9852,0.855,K2:III:
99461,,5.32,6.41,6.0518,0.868,K2V
15510,82 Eridani,4.26,5.35,6.0599,0.711,G8V
99240,d Pavonis,3.55,4.62,6.1076,0.751,G5IV-Vvar
71253,Wolf 1481,11.32,12.39,6.1158,1.633,M4
86961,,10.49,11.53,6.1816,1.463,M2V:
86963,,11.39,12.43,6.1816,1.439,M2V:
45343,,7.64,8.68,6.1885,1.41,M0V
99701,,7.97,9.01,6.2046,1.431,M0V
116132,EQ Pegasi,10.05,11.07,6.2477,1.19,M6Ve
74995,HO Librae or Wolf 562,10.57,11.58,6.2688,1.6,M5
120005,,7.7,8.71,6.2704,1.42,K2
84140,,9.31,10.31,6.3223,1.485,K5
34603,QY Aurigae or Ross 986,11.65,12.63,6.3597,1.7,M5Ve
54298,,11.69,12.65,6.44,,
82809,Wolf 629,11.73,12.67,6.4952,1.7,M4
114622,,5.57,6.5,6.5257,1,K3Vvar
80459,,10.13,11.04,6.582,1.591,M2
53767,Ross 104,10.03,10.92,6.6243,1.525,M3
72659,37 Bootis,4.54,5.41,6.6997,0.72,G8V + K4V
106106,Ross 775,10.33,11.19,6.7435,1.62,M4
114176,,12.28,13.13,6.759,,
113296,Ross 671,8.68,9.49,6.8837,1.507,M2:
84709,,5.91,6.69,6.9711,1.082,K4V
103096,,8.55,9.31,7.0447,1.483,M2V
12114,,5.79,6.5,7.2088,0.918,K3V
51317,Ross 446,9.65,10.35,7.2312,1.507,M2
83945,,11.77,12.47,7.2548,1.696,M3
3765,Wolf 25,5.74,6.38,7.4605,0.89,K2V
7981,107 Piscium,5.24,5.87,7.4677,0.836,K1V
2021,b Hydri,2.82,3.45,7.475,0.618,G2IV
73182,,8.01,8.64,7.4833,1.519,K5V
12781,VX Arietis or Ross 556,10.55,11.16,7.5517,1.53,M3.5Ve
5336,m Cassiopei A,5.17,5.78,7.5529,0.704,G5Vp
65859,Ross 490,9.05,9.64,7.6266,1.493,M1V